user,insider_risk_score,risk_category,anomalous_day_count,mean_anomaly_score,worst_anomaly_score,data_access_violations,mean_file_zscore,peak_file_zscore,most_common_anomaly_trigger,privilege_misuse_indicators,access_pattern_deviations,historical_security_events
AJF0370,0.4223138382137366,Critical,373,-0.08286456954910197,-0.1229593736801046,0.4060369447997307,7.381643702601577e-17,3.2533534000723696,after_hours_ratio (z=-1.12),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
IBB0359,0.3552793762943137,High,305,-0.06361877240313045,-0.1215704351084054,0.357793496851305,-1.2724619193411537e-17,3.815570084748469,device_connects (z=1.48),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
MPM0220,0.32859552158696853,High,216,-0.08686029733995654,-0.1274197976740563,0.18840771546172422,-2.27519328555637e-16,2.191150073113494,unique_pcs (z=1.33),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
EIS0041,0.32812884780477825,High,244,-0.05762739130158581,-0.1121307996633996,0.41106247361182513,7.105347139174367e-17,3.6706857056012696,logon_count (z=1.48),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
HDS0367,0.3156290780920503,High,241,-0.056680845419548154,-0.1107033598682415,0.36576153448541016,3.2087370653906257e-19,3.773134944535746,logon_count (z=1.48),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
BSS0369,0.2978092455378668,High,200,-0.06481766347112453,-0.1165324530272882,0.2722001012304372,-1.2077740016842707e-16,2.975067308230994,device_connects (z=1.49),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
BAL0044,0.29682564398234623,High,235,-0.05431098104821847,-0.1121307996633996,0.298218174977781,-8.996634854721096e-17,3.312745570211645,logon_count (z=0.72),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
MOS0047,0.2878258131178015,High,120,-0.06473773102450035,-0.1119133693924738,0.3861558845114843,5.0464682937507114e-17,2.987577571598529,after_hours_ratio (z=1.55),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
DLM0051,0.2650398668081499,Medium,190,-0.01610554687196263,-0.0453908890612825,0.7153388875852004,5.968721948902218e-16,0.9330322885074728,logoff_count (z=2.19),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
GTD0219,0.2510817990067045,Medium,85,-0.05839062962878584,-0.1028560186307098,0.34435012244250973,-1.6935605460383745e-17,3.1679863225102847,unique_pcs (z=1.28),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
CCA0046,0.25011233536922145,Medium,131,-0.05257801362066434,-0.103398645951762,0.29831294682180115,-9.058536121319685e-17,3.3435220700197146,unique_pcs (z=1.38),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
SAA0999,0.2498191164842976,Medium,234,-0.009493096585126695,-0.0335111877500061,0.6423871156715457,4.877280339393751e-16,0.9055910350851611,file_count (z=0.91),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
WDD0366,0.24120041918715246,Medium,105,-0.03002295950646408,-0.0610440062332509,0.6008816178662824,6.055761952500853e-17,15.641078967261338,logon_count (z=1.52),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
MSO0222,0.2341272981467006,Medium,69,-0.02952662537352503,-0.0701263060624464,0.6123057166893977,8.384738742461957e-17,15.39494021100499,unique_pcs (z=1.42),NOT COMPUTED - no data source,NOT COMPUTED - no data source,NOT COMPUTED - no data source
