user,logon_count_mean,logon_count_std,logoff_count_mean,logoff_count_std,unique_pcs_mean,unique_pcs_std,after_hours_ratio_mean,after_hours_ratio_std,device_connects_mean,device_connects_std
AAE0190,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAF0535,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.1097560975609757,1.2870863806246984
AAF0791,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAL0706,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAM0658,1.0177777777777777,0.13243746652546076,1.0177777777777777,0.13243746652546076,1.0,0.0,1.0133333333333334,0.09354143466934853,0.03111111111111111,0.2388796602130287
AAN0823,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
AAS0442,1.72,0.45355736761107257,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAV0450,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAW0353,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABC0174,1.8006756756756757,0.4001688832669715,1.0,0.0,1.0,0.0,0.0,0.0,2.168918918918919,1.1550244755702301
ABC0253,1.783236994219653,0.4126365371448352,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABH0663,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABM0845,1.829479768786127,0.44048493158317037,1.0664739884393064,0.24946957216738785,1.0664739884393064,0.24946957216738785,0.596820809248555,0.20855960737062587,0.0,0.0
ABN0239,1.7716763005780347,0.4203601897395479,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ACC0042,3.9364161849710984,1.3690165263708165,3.9364161849710984,1.3690165263708165,3.9364161849710984,1.3690165263708165,1.0857899807321774,0.3843302335087057,0.0,0.0
ACV0812,2.175141242937853,0.6323239275869741,1.4378531073446328,0.5710999484905899,1.265536723163842,0.44224366152006195,0.7430320150659134,0.3950652921475588,0.0,0.0
ADC0391,1.7976878612716762,0.40230549459665466,1.0,0.0,1.0,0.0,0.3901734104046243,0.3624657488881277,0.0,0.0
